video,person_id,object_id,coupling_conf,diverge_conf,rest_conf,bin_prox,l4_conf,evidence_conf,pred_violation,event_label
vid0048.mp4,3224,3400,0.849,1.0,0.5,0.0,0.5,0.605,1,0
vid0054.mp4,3437,3442,0.97,0.831,0.5,0.0,0.5,0.599,1,0
vid0054.mp4,3448,3453,0.986,1.0,1.0,0.0,0.5,0.746,1,1
vid0059.mp4,3502,3559,0.986,1.0,1.0,0.0,0.5,0.746,1,0
vid0059.mp4,3522,3559,0.885,1.0,0.5,0.0,0.5,0.615,1,0
vid0061.mp4,3957,3956,0.0,1.0,0.5,0.0,0.95,0.35,1,1
vid0064.mp4,4190,4199,0.967,1.0,0.5,0.0,0.5,0.64,1,0
vid0064.mp4,4289,4291,0.9,0.923,0.5,0.0,0.5,0.601,1,0
vid0064.mp4,4190,4291,0.958,1.0,0.5,0.0,0.5,0.637,1,0
vid0064.mp4,4294,4322,0.915,1.0,0.5,0.0,0.5,0.625,1,0
vid0066.mp4,4387,4389,0.834,0.83,1.0,0.0,0.5,0.658,1,0
vid0066.mp4,4381,4389,0.896,1.0,0.5,0.0,0.5,0.619,1,1
vid0066.mp4,4381,4421,0.932,0.786,1.0,0.0,0.5,0.676,1,0
vid0066.mp4,4381,4422,0.889,0.701,0.5,0.0,0.5,0.542,1,0
vid0068.mp4,4426,4484,0.826,1.0,0.5,0.0,0.5,0.598,1,0
vid0068.mp4,4543,4546,0.953,1.0,0.5,0.0,0.5,0.636,0,0
vid0068.mp4,4426,4546,0.982,1.0,0.5,0.098,0.5,0.669,0,0
vid0070.mp4,4601,4602,0.951,0.721,0.5,0.0,0.5,0.565,1,0
vid0070.mp4,4601,4607,0.908,1.0,0.5,0.0,0.5,0.622,1,1
vid0071.mp4,4613,4614,0.836,0.724,1.0,0.931,0.5,0.865,0,1
vid0071.mp4,4613,4676,0.983,0.402,1.0,0.854,0.5,0.809,0,1
vid0071.mp4,4613,4734,0.0,1.0,0.5,0.954,0.9,0.589,0,1
vid0072.mp4,4755,4757,0.897,0.7,1.0,0.0,0.5,0.644,1,0
vid0072.mp4,4756,4760,0.998,0.745,0.5,0.827,0.9,0.792,0,0
vid0074.mp4,4825,4870,0.996,0.701,0.5,0.981,0.5,0.819,0,0
vid0074.mp4,4825,4872,0.953,0.712,0.5,0.928,0.5,0.796,0,0
vid0074.mp4,4825,4885,0.895,1.0,0.5,0.675,0.5,0.787,0,0
vid0074.mp4,4802,4914,0.715,0.881,0.5,1.0,0.5,0.785,0,0
vid0074.mp4,4802,4953,0.907,0.407,0.5,0.068,0.5,0.491,1,0
vid0074.mp4,4825,4944,0.76,0.759,0.5,0.0,0.5,0.518,1,0
vid0074.mp4,4802,4959,0.839,1.0,0.5,0.4,0.5,0.702,0,0
vid0074.mp4,4802,4977,0.933,0.702,1.0,0.31,0.5,0.733,0,0
vid0074.mp4,4825,5020,0.998,1.0,0.5,0.0,0.5,0.649,1,0
vid0076.mp4,5108,5114,0.898,0.822,1.0,0.0,0.5,0.675,1,1
vid0077.mp4,5158,5159,0.981,1.0,0.5,0.0,0.5,0.644,1,0
vid0078.mp4,5174,5175,0.962,0.724,0.5,0.488,0.5,0.692,0,1
vid0089.mp4,5197,5195,0.0,1.0,0.5,0.302,0.88,0.425,0,0
vid0091.mp4,5228,5231,0.932,1.0,0.5,0.0,0.5,0.63,1,0
vid0091.mp4,5228,5313,0.918,0.814,1.0,0.0,0.5,0.679,1,1
vid0091.mp4,5228,5315,0.885,0.827,1.0,0.0,0.5,0.672,1,0
vid0096.mp4,5396,5398,0.849,0.7,1.0,0.0,0.5,0.63,1,1
vid0097.mp4,5425,5427,0.953,0.702,0.5,0.0,0.5,0.562,1,1
vid0099.mp4,5465,5467,0.835,1.0,0.5,0.0,0.5,0.6,1,0
vid0099.mp4,5465,5470,0.961,0.742,1.0,0.0,0.5,0.674,1,0
vid0099.mp4,5465,5472,0.985,0.735,1.0,0.0,0.5,0.679,1,0
vid0099.mp4,5465,5478,0.986,1.0,0.5,0.0,0.5,0.646,1,0
vid0103.mp4,5491,5492,0.0,1.0,0.5,1.0,0.95,0.6,0,1
vid0111.mp4,5769,5776,0.94,0.438,1.0,0.252,0.5,0.654,0,1
vid0122.mp4,5930,6268,0.0,1.0,0.5,0.0,0.88,0.35,1,0
vid0126.mp4,6544,6548,0.0,1.0,0.5,0.0,0.88,0.35,1,0
vid0126.mp4,6575,6675,0.898,1.0,0.5,0.0,0.5,0.62,1,0
vid0126.mp4,6575,6687,0.866,0.482,0.5,0.0,0.5,0.48,1,1
vid0135.mp4,6863,6947,0.99,0.704,1.0,0.0,0.5,0.673,1,0
vid0135.mp4,6899,6952,0.891,1.0,0.5,0.978,0.9,0.862,0,0
vid0135.mp4,6899,6962,0.998,1.0,0.5,1.0,0.9,0.899,0,0
vid0135.mp4,6975,6982,0.0,0.718,0.5,1.0,0.9,0.529,0,0
vid0135.mp4,7020,7034,0.948,0.624,0.5,0.0,0.5,0.54,1,0
vid0135.mp4,7078,7081,0.979,0.722,0.5,0.791,0.5,0.772,0,0
vid0135.mp4,7080,7084,0.949,0.943,0.5,0.572,0.5,0.763,0,0
vid0135.mp4,7078,7093,0.957,0.722,0.5,1.0,0.9,0.818,0,0
vid0135.mp4,7106,7111,0.871,1.0,0.5,1.0,0.9,0.861,0,0
vid0135.mp4,7144,7157,0.982,1.0,0.5,1.0,0.9,0.895,0,0
vid0135.mp4,7152,7164,0.994,1.0,0.5,1.0,0.9,0.898,0,0
vid0135.mp4,7122,7157,0.906,1.0,0.5,0.934,0.5,0.855,0,0
vid0136.mp4,7302,7313,0.91,1.0,1.0,0.0,0.5,0.723,1,1
vid0136.mp4,7302,7327,0.73,1.0,1.0,0.0,0.5,0.669,1,0
vid0137.mp4,7350,7380,0.0,1.0,0.5,1.0,0.9,0.6,0,0
vid0137.mp4,7367,7380,0.0,1.0,0.5,1.0,0.9,0.6,0,0
vid0139.mp4,7586,7598,0.961,0.607,1.0,0.0,0.5,0.64,1,1
vid0145.mp4,7963,7969,0.0,1.0,0.5,0.986,0.9,0.597,0,0
vid0146.mp4,7970,7999,0.78,1.0,0.5,1.0,0.5,0.834,0,1
vid0147.mp4,8019,8020,0.0,0.774,0.5,0.911,0.9,0.521,0,0
vid0147.mp4,8019,8022,0.722,1.0,0.5,0.773,0.9,0.76,0,1
vid0148.mp4,8024,8025,0.968,0.71,0.5,0.0,0.5,0.568,1,0
vid0148.mp4,8024,8037,0.892,0.741,0.5,0.0,0.5,0.553,1,0
vid0148.mp4,8024,8040,0.938,0.7,0.5,0.0,0.5,0.556,1,0
vid0148.mp4,8024,8049,0.992,0.714,1.0,0.0,0.5,0.676,1,1
vid0158.mp4,8460,8470,0.979,0.7,0.5,0.0,0.5,0.569,1,0
vid0158.mp4,8459,8476,0.931,0.7,0.5,0.0,0.5,0.554,1,0
vid0158.mp4,8459,8492,0.92,1.0,0.5,0.0,0.5,0.626,1,0
vid0158.mp4,8497,8498,0.946,0.784,0.5,0.0,0.5,0.58,1,0
vid0159.mp4,8507,8524,0.899,1.0,1.0,0.0,0.5,0.72,1,0
vid0160.mp4,8961,8970,0.965,0.705,1.0,0.0,0.5,0.666,1,0
vid0160.mp4,8961,8979,0.987,0.71,0.5,0.0,0.5,0.573,1,0
vid0162.mp4,8996,8997,0.826,1.0,0.5,0.0,0.5,0.598,1,0
vid0162.mp4,8996,9001,0.932,0.7,0.5,0.0,0.5,0.555,1,0
vid0162.mp4,8996,9006,0.947,0.706,1.0,0.0,0.5,0.661,1,0
vid0169.mp4,9038,9044,0.769,1.0,0.5,0.0,0.5,0.581,1,0
vid0174.mp4,9140,9162,1.0,1.0,0.5,0.0,0.5,0.65,1,0
vid0174.mp4,9140,9203,0.768,1.0,1.0,0.0,0.5,0.68,1,0
vid0179.mp4,9488,9522,0.844,0.708,1.0,0.0,0.5,0.63,1,0
vid0179.mp4,9529,9531,0.842,0.792,0.5,0.0,0.5,0.551,1,0
vid0179.mp4,9488,9535,0.745,1.0,0.5,0.0,0.5,0.573,1,0
vid0179.mp4,9488,9562,0.905,1.0,1.0,0.0,0.5,0.722,1,0
vid0179.mp4,9488,9564,0.917,0.754,1.0,0.0,0.5,0.664,1,1
vid0179.mp4,9580,9590,0.937,0.798,0.5,0.0,0.5,0.58,1,0
vid0182.mp4,9807,9632,0.0,1.0,0.5,0.0,0.88,0.35,1,0
vid0183.mp4,10053,10054,0.939,0.904,0.5,0.0,0.5,0.608,1,1
vid0184.mp4,10066,10087,0.888,1.0,0.5,0.15,0.5,0.654,1,0
vid0184.mp4,10066,10125,0.92,1.0,0.5,0.0,0.5,0.626,1,0
vid0184.mp4,10065,10152,0.926,1.0,0.5,0.0,0.5,0.628,1,0
vid0184.mp4,10065,10155,0.961,1.0,1.0,0.0,0.5,0.738,1,0
vid0187.mp4,10203,10211,0.99,0.729,0.5,0.262,0.5,0.645,0,1
vid0193.mp4,10672,10685,0.999,1.0,1.0,1.0,0.5,1.0,0,0
vid0193.mp4,10672,10698,0.911,0.881,1.0,1.0,0.5,0.944,0,0
vid0193.mp4,10672,10708,0.891,1.0,0.5,0.87,0.5,0.835,0,0
vid0193.mp4,10672,10717,0.892,0.783,1.0,0.833,0.5,0.871,0,0
vid0193.mp4,10672,10718,0.763,1.0,1.0,0.834,0.5,0.887,0,0
